"Cell_ID","Latitude","Longitude","Solar_Radiation","Percent_of_Max"
101,-64.8,105,12157.81,52.05
10,-83.4,-85,12062.32,51.65
512,54.9,-105,12011.01,51.43
501,45,145,12001.66,51.39
97,-64.8,65,11976.63,51.28
1,-83.4,-175,11945.74,51.15
502,45,155,11909.31,50.99
170,-45,75,11899.56,50.95
52,-74.5,-25,11899.18,50.95
511,54.9,-115,11887.38,50.9
102,-64.8,115,11876.45,50.85
531,54.9,85,11767.91,50.38
6,-83.4,-125,11718.53,50.17
169,-45,65,11712.51,50.15
98,-64.8,75,11707.49,50.13
5,-83.4,-135,11678.41,50
513,54.9,-95,11675.22,49.99
2,-83.4,-165,11662.23,49.93
536,54.9,135,11658.22,49.91
4,-83.4,-145,11618.01,49.74
106,-64.8,155,11613.21,49.72
7,-83.4,-115,11610.12,49.71
514,54.9,-85,11607.95,49.7
9,-83.4,-95,11596.31,49.65
3,-83.4,-155,11560.18,49.5
537,54.9,145,11547.07,49.44
535,54.9,125,11514.17,49.3
534,54.9,115,11488.85,49.19
532,54.9,95,11439.65,48.98
529,54.9,65,11392.21,48.78
8,-83.4,-105,11376.52,48.71
50,-74.5,-45,11250.01,48.17
51,-74.5,-35,11219.79,48.04
533,54.9,105,11194.49,47.93
41,-74.5,-135,11146,47.72
530,54.9,75,11136.25,47.68
45,-74.5,-95,11109.87,47.57
42,-74.5,-125,11079.19,47.44
155,-45,-75,11072.94,47.41
528,54.9,55,11067.34,47.39
481,45,-55,11044.63,47.29
72,-74.5,175,11028.82,47.22
46,-74.5,-85,11003.23,47.11
515,54.9,-75,11002.36,47.11
44,-74.5,-105,10999.64,47.1
94,-64.8,35,10986.75,47.04
92,-64.8,15,10956.78,46.91
40,-74.5,-145,10866.26,46.52
43,-74.5,-115,10803.78,46.26
538,54.9,155,10757.16,46.06
134,-54.9,75,10713.98,45.87
47,-74.5,-75,10689.61,45.77
49,-74.5,-55,10661.2,45.65
516,54.9,-65,10617.66,45.46
517,54.9,-55,10514.82,45.02
510,54.9,-125,10504.13,44.97
540,54.9,175,10474.34,44.85
48,-74.5,-65,10415.8,44.6
121,-54.9,-55,10397.77,44.52
39,-74.5,-155,10393.18,44.5
143,-54.9,165,10387.64,44.47
38,-74.5,-165,10287.87,44.05
527,54.9,45,10279.5,44.01
539,54.9,165,10265.87,43.95
525,54.9,25,10222.68,43.77
526,54.9,35,10026.25,42.93
524,54.9,15,10010.26,42.86
573,64.8,145,9955.13,42.62
549,64.8,-95,9865.15,42.24
550,64.8,-85,9805.68,41.98
548,64.8,-105,9804.66,41.98
572,64.8,135,9777.54,41.86
547,64.8,-115,9723.61,41.63
523,54.9,5,9697.16,41.52
551,64.8,-75,9685.31,41.47
571,64.8,125,9658.65,41.35
521,54.9,-15,9584.36,41.04
574,64.8,155,9566.93,40.96
570,64.8,115,9442.55,40.43
107,-64.8,165,9430.12,40.38
83,-64.8,-75,9429.54,40.37
546,64.8,-125,9405.93,40.27
120,-54.9,-65,9352.35,40.04
552,64.8,-65,9264.82,39.67
84,-64.8,-65,9231.89,39.53
575,64.8,165,9228.78,39.51
522,54.9,-5,9206.63,39.42
509,54.9,-135,9163.73,39.23
85,-64.8,-55,9138.65,39.13
569,64.8,105,9126.16,39.07
567,64.8,85,9075.93,38.86
518,54.9,-45,9051.76,38.76
576,64.8,175,9033.46,38.68
568,64.8,95,8991.04,38.5
586,74.5,-85,8922.91,38.2
610,74.5,155,8904.49,38.12
565,64.8,65,8900.75,38.11
93,-64.8,25,8894.94,38.08
566,64.8,75,8869.47,37.97
564,64.8,55,8867.13,37.96
587,74.5,-75,8837,37.84
554,64.8,-45,8814.19,37.74
611,74.5,165,8780.57,37.59
545,64.8,-135,8765.18,37.53
553,64.8,-55,8727.5,37.37
119,-54.9,-75,8705.2,37.27
122,-54.9,-45,8697.92,37.24
142,-54.9,155,8665.53,37.1
559,64.8,5,8658.17,37.07
123,-54.9,-35,8620.09,36.91
612,74.5,175,8619.92,36.91
609,74.5,145,8571.24,36.7
585,74.5,-95,8543.15,36.58
607,74.5,125,8506.59,36.42
581,74.5,-135,8505.3,36.42
563,64.8,45,8486.89,36.34
560,64.8,15,8451.72,36.19
608,74.5,135,8363.07,35.81
562,64.8,35,8355.79,35.78
584,74.5,-105,8355.67,35.78
606,74.5,115,8345.18,35.73
622,83.4,-85,8340.64,35.71
561,64.8,25,8330.91,35.67
507,54.9,-155,8283.73,35.47
582,74.5,-125,8271.61,35.42
555,64.8,-35,8266.69,35.39
583,74.5,-115,8263.01,35.38
588,74.5,-65,8258.35,35.36
623,83.4,-75,8170.94,34.98
508,54.9,-145,8146.69,34.88
621,83.4,-95,8124.87,34.79
589,74.5,-55,8057.33,34.5
605,74.5,105,7945.17,34.02
86,-64.8,-45,7926.98,33.94
624,83.4,-65,7922.14,33.92
577,74.5,-175,7887.09,33.77
604,74.5,95,7862.81,33.66
544,64.8,-145,7861.9,33.66
603,74.5,85,7838.24,33.56
602,74.5,75,7826.43,33.51
590,74.5,-45,7825.88,33.51
620,83.4,-105,7788.46,33.35
543,64.8,-155,7747.52,33.17
600,74.5,55,7738.87,33.13
558,64.8,-5,7722.91,33.07
556,64.8,-25,7714.56,33.03
625,83.4,-55,7637.69,32.7
601,74.5,65,7633.58,32.68
591,74.5,-35,7601.91,32.55
124,-54.9,-25,7597.99,32.53
542,64.8,-165,7509.23,32.15
557,64.8,-15,7430.54,31.81
592,74.5,-25,7376.47,31.58
640,83.4,95,7340.5,31.43
541,64.8,-175,7322.16,31.35
626,83.4,-45,7300.16,31.26
598,74.5,35,7293.54,31.23
637,83.4,65,7271.67,31.13
506,54.9,-165,7263,31.1
636,83.4,55,7200.09,30.83
639,83.4,85,7160.37,30.66
638,83.4,75,7151.58,30.62
593,74.5,-15,7081.86,30.32
627,83.4,-35,7068.57,30.26
597,74.5,25,7045.29,30.16
599,74.5,45,6985.67,29.91
635,83.4,45,6952.66,29.77
628,83.4,-25,6914.78,29.61
505,54.9,-175,6894.91,29.52
578,74.5,-165,6885.35,29.48
594,74.5,-5,6873.39,29.43
629,83.4,-15,6830.82,29.25
580,74.5,-145,6775.96,29.01
596,74.5,15,6735.81,28.84
634,83.4,35,6694.15,28.66
633,83.4,25,6685.54,28.62
632,83.4,15,6661.91,28.52
579,74.5,-155,6550.34,28.05
