"Cell_ID","Latitude","Longitude","Vapor_Pressure","Percent_of_Max"
626,83.4,-45,0.197,6.04
93,-64.8,25,0.192,5.89
628,83.4,-25,0.189,5.79
627,83.4,-35,0.184,5.63
620,83.4,-105,0.181,5.56
94,-64.8,35,0.168,5.15
72,-74.5,175,0.161,4.94
92,-64.8,15,0.16,4.92
95,-64.8,45,0.156,4.8
96,-64.8,55,0.155,4.76
592,74.5,-25,0.153,4.7
99,-64.8,85,0.152,4.67
100,-64.8,95,0.147,4.51
555,64.8,-35,0.147,4.51
41,-74.5,-135,0.146,4.49
48,-74.5,-65,0.146,4.48
97,-64.8,65,0.146,4.47
98,-64.8,75,0.146,4.49
42,-74.5,-125,0.143,4.4
40,-74.5,-145,0.141,4.34
101,-64.8,105,0.141,4.33
106,-64.8,155,0.141,4.34
43,-74.5,-115,0.139,4.26
102,-64.8,115,0.139,4.26
51,-74.5,-35,0.137,4.2
39,-74.5,-155,0.133,4.07
44,-74.5,-105,0.126,3.88
47,-74.5,-75,0.126,3.86
45,-74.5,-95,0.125,3.84
103,-64.8,125,0.121,3.72
105,-64.8,145,0.121,3.72
104,-64.8,135,0.119,3.66
590,74.5,-45,0.114,3.51
50,-74.5,-45,0.113,3.47
46,-74.5,-85,0.112,3.44
38,-74.5,-165,0.111,3.4
52,-74.5,-25,0.111,3.4
49,-74.5,-55,0.099,3.04
71,-74.5,165,0.091,2.78
53,-74.5,-15,0.09,2.78
54,-74.5,-5,0.078,2.4
56,-74.5,15,0.071,2.19
591,74.5,-35,0.071,2.17
55,-74.5,5,0.07,2.16
58,-74.5,35,0.07,2.15
57,-74.5,25,0.069,2.12
60,-74.5,55,0.069,2.12
61,-74.5,65,0.068,2.09
59,-74.5,45,0.067,2.07
62,-74.5,75,0.065,1.99
70,-74.5,155,0.063,1.94
5,-83.4,-135,0.062,1.89
4,-83.4,-145,0.06,1.86
6,-83.4,-125,0.058,1.79
63,-74.5,85,0.058,1.77
7,-83.4,-115,0.055,1.7
15,-83.4,-35,0.054,1.67
8,-83.4,-105,0.053,1.61
