"Cell_ID","Latitude","Longitude","Wind_Speed","Percent_of_Max"
289,-5,-175,3.56,17.82
240,-25,55,3.55,17.8
566,64.8,75,3.55,17.78
288,-15,175,3.54,17.72
21,-83.4,25,3.5,17.53
281,-15,105,3.5,17.55
464,35,135,3.5,17.55
527,54.9,45,3.5,17.54
588,74.5,-65,3.5,17.53
200,-35,15,3.48,17.44
565,64.8,65,3.48,17.46
246,-25,115,3.47,17.38
560,64.8,15,3.47,17.4
419,25,45,3.46,17.34
498,45,115,3.46,17.36
529,54.9,65,3.46,17.33
276,-15,55,3.45,17.29
486,45,-5,3.45,17.31
564,64.8,55,3.45,17.27
383,15,45,3.44,17.26
417,25,25,3.44,17.23
576,64.8,175,3.43,17.2
530,54.9,75,3.42,17.13
191,-35,-75,3.41,17.09
213,-35,145,3.41,17.1
453,35,25,3.41,17.11
563,64.8,45,3.41,17.06
67,-74.5,125,3.4,17.06
460,35,95,3.4,17.03
192,-35,-65,3.39,16.97
248,-25,135,3.39,16.97
487,45,5,3.37,16.88
493,45,65,3.37,16.91
628,83.4,-25,3.37,16.88
465,35,145,3.36,16.85
439,35,-115,3.35,16.77
509,54.9,-135,3.35,16.8
228,-25,-65,3.34,16.72
475,45,-115,3.33,16.67
562,64.8,35,3.33,16.69
623,83.4,-75,3.33,16.68
450,35,-5,3.32,16.62
193,-35,-55,3.3,16.55
459,35,85,3.3,16.51
34,-83.4,155,3.28,16.45
479,45,-75,3.27,16.37
286,-15,155,3.25,16.3
525,54.9,25,3.25,16.3
497,45,105,3.24,16.23
311,-5,45,3.23,16.2
420,25,55,3.23,16.17
538,54.9,155,3.23,16.19
491,45,45,3.22,16.15
14,-83.4,-45,3.2,16.03
214,-35,155,3.2,16.03
514,54.9,-85,3.2,16.06
13,-83.4,-55,3.18,15.91
202,-35,35,3.18,15.92
418,25,35,3.18,15.94
528,54.9,55,3.17,15.87
405,25,-95,3.16,15.84
511,54.9,-115,3.16,15.84
406,25,-85,3.13,15.67
201,-35,25,3.11,15.61
474,45,-125,3.1,15.52
526,54.9,35,3.1,15.55
24,-83.4,55,3.09,15.5
438,35,-125,3.09,15.47
567,64.8,85,3.08,15.42
622,83.4,-85,3.08,15.42
463,35,125,3.07,15.39
298,-5,-85,3.06,15.34
371,15,-75,3.06,15.34
250,-25,155,3.05,15.29
490,45,35,3.05,15.3
33,-83.4,145,3.04,15.22
443,35,-75,3.04,15.24
347,5,45,3.03,15.19
546,64.8,-125,3.03,15.18
586,74.5,-85,3.02,15.12
25,-83.4,65,3.01,15.1
499,45,125,2.97,14.91
2,-83.4,-165,2.94,14.74
561,64.8,25,2.92,14.61
380,15,15,2.91,14.57
379,15,5,2.89,14.48
26,-83.4,75,2.88,14.42
236,-25,15,2.88,14.44
285,-15,145,2.87,14.39
537,54.9,145,2.87,14.41
287,-15,165,2.84,14.23
381,15,25,2.83,14.2
35,-83.4,165,2.82,14.14
350,5,75,2.81,14.07
543,64.8,-155,2.81,14.11
442,35,-85,2.8,14.05
545,64.8,-135,2.8,14.01
36,-83.4,175,2.78,13.96
575,64.8,165,2.78,13.93
496,45,95,2.75,13.77
356,5,135,2.72,13.62
531,54.9,85,2.72,13.64
404,25,-105,2.71,13.57
455,35,45,2.71,13.56
249,-25,145,2.69,13.49
377,15,-15,2.68,13.41
544,64.8,-145,2.67,13.37
403,25,-115,2.66,13.34
229,-25,-55,2.64,13.24
456,35,55,2.64,13.22
283,-15,125,2.63,13.19
494,45,75,2.63,13.17
239,-25,45,2.62,13.12
454,35,35,2.62,13.11
273,-15,25,2.61,13.07
390,15,115,2.61,13.06
237,-25,25,2.59,12.96
488,45,15,2.58,12.91
32,-83.4,135,2.57,12.88
310,-5,35,2.56,12.83
284,-15,135,2.55,12.77
378,15,-5,2.55,12.8
489,45,25,2.53,12.66
495,45,85,2.53,12.7
31,-83.4,125,2.52,12.65
457,35,65,2.49,12.48
624,83.4,-65,2.48,12.44
462,35,115,2.47,12.37
500,45,135,2.46,12.33
370,15,-85,2.45,12.29
1,-83.4,-175,2.43,12.16
382,15,35,2.43,12.18
369,15,-95,2.42,12.15
322,-5,155,2.4,12.03
574,64.8,155,2.4,12.03
510,54.9,-125,2.39,11.97
275,-15,45,2.36,11.81
461,35,105,2.36,11.83
351,5,85,2.35,11.76
421,25,65,2.35,11.78
263,-15,-75,2.34,11.74
334,5,-85,2.32,11.63
23,-83.4,45,2.3,11.53
571,64.8,125,2.29,11.46
272,-15,15,2.27,11.37
391,15,125,2.26,11.32
264,-15,-65,2.25,11.29
338,5,-45,2.21,11.08
426,25,115,2.16,10.85
323,-5,165,2.15,10.77
386,15,75,2.11,10.56
320,-5,135,2.1,10.5
321,-5,145,2.1,10.51
22,-83.4,35,2.09,10.5
569,64.8,105,2.07,10.39
303,-5,-35,2.06,10.33
568,64.8,95,2.06,10.34
274,-15,35,2.04,10.24
319,-5,125,2.04,10.22
230,-25,-45,2,10
316,-5,95,2,10
458,35,75,1.99,9.99
533,54.9,105,1.99,9.99
238,-25,35,1.98,9.91
346,5,35,1.98,9.92
570,64.8,115,1.98,9.93
573,64.8,145,1.95,9.78
341,5,-15,1.88,9.44
368,15,-105,1.88,9.43
267,-15,-35,1.87,9.39
387,15,85,1.83,9.18
534,54.9,115,1.83,9.17
532,54.9,95,1.82,9.12
425,25,105,1.81,9.07
422,25,75,1.77,8.88
423,25,85,1.76,8.83
343,5,5,1.75,8.79
352,5,95,1.75,8.78
572,64.8,135,1.75,8.76
355,5,125,1.73,8.66
265,-15,-55,1.69,8.45
307,-5,5,1.69,8.47
535,54.9,125,1.69,8.47
336,5,-65,1.67,8.37
353,5,105,1.66,8.31
389,15,105,1.66,8.32
317,-5,105,1.65,8.26
337,5,-55,1.62,8.12
309,-5,25,1.61,8.05
318,-5,115,1.58,7.92
424,25,95,1.54,7.73
342,5,-5,1.53,7.68
266,-15,-45,1.5,7.5
536,54.9,135,1.44,7.23
345,5,25,1.42,7.1
308,-5,15,1.38,6.94
344,5,15,1.38,6.9
299,-5,-75,1.33,6.66
335,5,-75,1.33,6.65
354,5,115,1.33,6.64
301,-5,-55,1.3,6.51
388,15,95,1.26,6.3
302,-5,-45,1.25,6.26
300,-5,-65,1,5
