"Cell_ID","Latitude","Longitude","Avg_Temperature","Percent_of_Max"
548,64.8,-105,-10.4,-33.59
569,64.8,105,-10.4,-33.68
636,83.4,55,-10.4,-33.52
575,64.8,165,-10.5,-33.85
570,64.8,115,-10.7,-34.37
580,74.5,-145,-10.8,-34.9
602,74.5,75,-10.9,-35.11
637,83.4,65,-10.9,-35.14
579,74.5,-155,-11,-35.44
593,74.5,-15,-11.1,-35.93
601,74.5,65,-11.1,-35.78
92,-64.8,15,-11.3,-36.61
571,64.8,125,-11.3,-36.49
611,74.5,165,-11.5,-37.11
629,83.4,-15,-11.5,-37.25
635,83.4,45,-11.6,-37.36
574,64.8,155,-11.8,-38.14
577,74.5,-175,-11.9,-38.44
599,74.5,45,-12.1,-39.04
603,74.5,85,-12.1,-38.99
612,74.5,175,-12.1,-39.01
549,64.8,-95,-12.2,-39.26
550,64.8,-85,-12.3,-39.71
554,64.8,-45,-12.5,-40.19
638,83.4,75,-13.4,-43.14
572,64.8,135,-13.5,-43.66
573,64.8,145,-13.5,-43.45
582,74.5,-125,-14.1,-45.63
604,74.5,95,-14.2,-45.77
607,74.5,125,-14.2,-45.69
628,83.4,-25,-14.5,-46.71
608,74.5,135,-14.6,-47.12
609,74.5,145,-14.7,-47.39
610,74.5,155,-14.8,-47.79
605,74.5,105,-14.9,-47.93
47,-74.5,-75,-15,-48.51
606,74.5,115,-15,-48.46
640,83.4,95,-15.1,-48.67
555,64.8,-35,-15.4,-49.77
583,74.5,-115,-15.9,-51.46
587,74.5,-75,-15.9,-51.19
592,74.5,-25,-15.9,-51.32
38,-74.5,-165,-16.1,-52.02
94,-64.8,35,-16.1,-51.83
586,74.5,-85,-16.5,-53.32
624,83.4,-65,-16.5,-53.09
48,-74.5,-65,-16.7,-53.96
584,74.5,-105,-16.8,-54.23
585,74.5,-95,-17.3,-55.89
588,74.5,-65,-17.3,-55.97
39,-74.5,-155,-17.5,-56.53
49,-74.5,-55,-17.5,-56.32
51,-74.5,-35,-17.6,-56.82
106,-64.8,155,-17.7,-57.26
72,-74.5,175,-18,-58.24
589,74.5,-55,-18,-58.1
621,83.4,-95,-18,-58.22
